node_id,label,attention_centrality,trade_centrality,amplification_ratio
1783,POL_M73,0.02111191776409219,5.61893044508136e-08,369158.4985484439
1403,LUX_B,0.021112082033630315,5.800659882458041e-08,357791.88182653976
2376,CHE_E36,0.021112038917574318,5.8450170214232994e-08,355121.58908032655
1431,LUX_H50,0.02111189918250836,5.962376127999152e-08,348244.6277954088
398,CYP_C16,0.02110206905784186,5.962144307485934e-08,348095.7890062703
1151,IRL_H50,0.02111195228129335,6.013913750324626e-08,345309.9461890902
2360,CHE_C18,0.021111894109889555,6.02075925169576e-08,344922.79865509324
399,CYP_C17,0.021104331524947353,6.045186540766792e-08,343428.6556631358
1355,LTU_C21,0.021111046490455133,6.058359076467796e-08,342803.1108339275
1615,MLT_M73,0.021110431840709886,6.073526021452642e-08,341950.9655803243
988,HUN_J58,0.02111175289504507,6.10256193214422e-08,340371.49690735544
1614,MLT_M72,0.02111155831900234,6.125783506861534e-08,339098.81857817515
1554,MEX_K66,0.02111278022770878,6.150038879093806e-08,337802.38229125907
1873,ROU_E37_E39,0.02111199568764345,6.202962565974614e-08,334953.531242795
193,BGR_E37_E39,0.021112087842286624,6.24233680551955e-08,332875.5392478273
2298,HRV_A03,0.021111651411085983,6.268831780056085e-08,331483.8912404132
64,AUT_C18,0.021111816631797394,6.504235472616268e-08,319670.8645434465
1851,ROU_B,0.021112070267044897,6.530983992001122e-08,318385.1792209443
1129,IRL_C19,0.021112241949189238,6.684522529292798e-08,311182.4282111998
89,AUT_H52,0.02111187334847656,6.789700671851237e-08,306426.568497117
392,CYP_A01,0.021109269213612853,6.799584384882845e-08,305949.866485636
2225,TWN_K65,0.021112919218997436,6.87413061617137e-08,302731.91571780347
658,ESP_K66,0.021112199836272313,6.893839504225164e-08,301868.520481745
683,EST_C21,0.02111040982382943,6.92761456194766e-08,300392.2545515759
1445,LUX_M71,0.021112032909997337,7.069727163603638e-08,294460.75740748324
1568,MLT_A01,0.021111897960818412,7.105487132791186e-08,292997.5110876412
1498,LVA_K66,0.021110448404022864,7.137488823423915e-08,291681.9482428703
705,EST_H52,0.02110992278599608,7.192373216562891e-08,289479.46243412106
